% Model,results1.mph
% Version,COMSOL 5.5.0.292
% Date,"Nov 27 2020, 21:48"
% Table,learning parameters - learning parameters
% r (m),phi2,PL (Pa),Dr,cL (mol/m^3),porosity (1),Thiele modulus,Peclet number (1),diffusion ratio of flow to cell phase [0.01-1],normalized intrinsic average concentration in flow domain 1 (1),normalized intrinsic average concentration in flow domain 2 (1),normalized intrinsic average concentration in flow domain 3 (1),normalized intrinsic average concentration in flow domain 4 (1),normalized intrinsic average concentration in flow domain 5 (1),normalized forward finite difference on intrinsic average concentration in domain 1 (1),normalized forward finite difference on intrinsic average concentration in domain 2 (1),normalized center finite difference on intrinsic average concentration in domain 3 (1),normalized center finite difference on intrinsic average concentration in domain 4 (1),normalized backward finite difference on intrinsic average concentration in domain 5 (1),Effectiveness factor in domain 1 (1),Effectiveness factor in domain 2 (1),Effectiveness factor in domain 3 (1),Effectiveness factor in domain 4 (1),Effectiveness factor in domain 5 (1)
6.0458E-7,0.180794,1455.28811,0.7224,6.8381,0.7448210115954237,0.180794,46.79618049751233,0.7224,6.83359699071571,6.827533627041366,6.82179753748378,6.816052379013752,6.810338195367247,0.0012219294700783236,0.0011559750082417767,0.0011568888220891754,0.0011546815094689862,0.001151560383001398,0.9963272582031286,0.9962929189732279,0.9962888327536481,0.9962846371561163,0.996288692718084
7.3272E-7,41.126,5027.49844,0.8892,5.5398,0.6251880309771056,41.126,98.43194394850092,0.8892,5.108131039331674,4.594662922768198,4.157467663163546,3.75273623431156,3.3801644631927714,0.12540945278946333,0.10678057020584031,0.10281608719432467,0.09492426678043098,0.09099692937805291,0.6022352669098059,0.5540253239863852,0.5245461326751321,0.49633265005838006,0.4696634828968221
9.2838E-7,53.4788,15731.9632,0.26489,2.5079,0.3982876702440501,53.4788,60.78364929086456,0.26489,2.088403054000395,1.4944208746421976,1.0481267756114399,0.7209483051801691,0.4876367962990613,0.1838137252241877,0.13811017188605829,0.11967941067285968,0.08672461449900433,0.0722005795383476,0.23891466965188193,0.20611349020806227,0.18003716305972628,0.15935991858701468,0.1434539092186477
6.1303E-7,64.6052,87.5831186,0.79984,1.189,0.7376380710106633,64.6052,2.7443139339593126,0.79984,0.4430457654756589,0.04737995594527559,0.004958742869927664,5.180336958701269E-4,5.415697360484918E-5,0.08085167040547028,0.008668492083860177,0.0047879606994255045,5.011097153371292E-4,9.479011568342774E-5,0.10339203316342281,0.06812860984247648,0.06548063077637085,0.06520936690964085,0.06523441784527041
9.8973E-7,66.5971,23006.6633,0.24037,5.5012,0.3161342903615885,66.5971,25.17140523358702,0.24037,3.4840169417631293,1.1302170849024922,0.283647459279557,0.06149406073097393,0.01269704232487117,0.7765421107768927,0.2792917851892625,0.1762912064522128,0.04469462602876019,0.01609862434235736,0.2625058183180034,0.1617173908635374,0.11388588191208264,0.09966483179750939,0.09637062162999974
7.3843E-7,64.5827,4194.09717,0.97494,6.6122,0.6193235386383065,64.5827,79.82790148653915,0.97494,5.896214814270932,5.04809566139798,4.34273919935942,3.7196736367665117,3.1718458904270017,0.20875887535199134,0.17361879075437783,0.1634911126081025,0.144103791019161,0.1348441475764948,0.5227887387107657,0.4619711879346674,0.42213275495045427,0.38517624322390975,0.35104817781330255
5.8544E-7,3.19026,860.007516,0.63974,0.42821,0.7607223453366283,3.19026,29.256212927744404,0.63974,0.40419774175769874,0.37238783032387784,0.34430587679238045,0.3182335060366151,0.2939524238631709,0.006207598183272034,0.005480099625159944,0.005284017935122517,0.004913154247146074,0.00473837224920706,0.642947671068988,0.622430510857126,0.6141332480761378,0.6069238460610945,0.6014176446276502
1.0045E-6,25.2497,10359.8942,0.907,1.2056,0.2955709767281474,25.2497,6.894086223536174,0.907,0.2642845284852527,0.001154126414702378,4.245381188286274E-6,1.5529650537790766E-8,5.722774205726863E-11,0.08810482962662261,3.8501849938830175E-4,1.932173973390956E-4,7.107379863944445E-7,5.1806828994380996E-9,0.26317728464414397,0.23555472801407237,0.23531666710826113,0.23729980039374113,0.23609140242890692
9.6307E-7,4.16876,7025.00898,0.93705,8.895,0.3524801772261616,4.16876,14.867507061969626,0.93705,8.124049572187456,6.730440327493247,5.386638453400193,4.108426008531337,2.9377977488940443,0.4473810850958838,0.43139175696093246,0.4208638883604411,0.39306750288145614,0.37579898600296247,0.9887160740048158,0.9850759779001208,0.9784244711868019,0.9665602347804079,0.9475457891989071
9.7844E-7,29.2805,19465.0144,0.39563,6.6158,0.3316472230689104,29.2805,28.980145900856204,0.39563,4.984487938614322,2.6151705330073622,1.1915561221975288,0.4771626999740188,0.17485196170354372,0.7727449741140245,0.4643070947042578,0.3486520640255241,0.16579733646562245,0.09859763958445454,0.5660341834065729,0.4250653231795939,0.31044528724077947,0.23773970564655225,0.20234993005053392
6.9523E-7,71.0125,964.86676,0.9818,7.4438,0.6625617055862636,71.0125,22.412667224829285,0.9818,5.741359220900784,3.6921065437034177,2.3284066171953643,1.4397294222045556,0.8779083603265039,0.47490064625597495,0.31602836663539796,0.2609866910299423,0.16807165052048964,0.13019828561649263,0.44196755133523785,0.3237269506345665,0.24328218475952607,0.18565009470407046,0.14685055488982277
7.6978E-7,7.17536,3688.8869,0.33132,3.3397,0.5863142078276808,7.17536,59.341637682405214,0.33132,3.2042829384098126,3.013575314501659,2.835818301830731,2.6646260032366897,2.500149332378828,0.04893430491067287,0.04561126440460899,0.04476903347092465,0.043065209884114296,0.042203617230988276,0.7518566577405364,0.7331611409203503,0.7177247400889178,0.702108738258171,0.6869476271555929
6.7631E-7,23.6777,1811.14763,0.93556,5.4523,0.6806778998473609,23.6777,45.44156641740772,0.93556,4.956852137986133,4.315189592072836,3.761710603509037,3.2623024252760953,2.81400440615809,0.14465426547554064,0.12477445825186106,0.118679686629384,0.10682386305506981,0.10106281110323272,0.7366864610555044,0.6783262623420309,0.6342660447394599,0.5910528160433608,0.5498718281779852
8.0475E-7,40.5377,3341.87506,0.50003,5.1065,0.5478741589668897,40.5377,43.301896809910446,0.50003,4.393264937797368,3.4178601577116767,2.625959235341149,1.9866674916587401,1.4815354378279872,0.2616523322579867,0.21242742242589402,0.1919587163343501,0.15349584184145285,0.13550167344009947,0.46627435812165585,0.4055856866960062,0.3548986626315732,0.30960803951846033,0.27053687561107453
7.5253E-7,20.967,4555.30988,0.86958,1.5132,0.6046470398255449,20.967,80.62598010850866,0.86958,1.3723802912672298,1.202523377801483,1.0598008040770515,0.932386797524179,0.8186159698078256,0.042607474363459484,0.03580100613494882,0.03388098012601326,0.03024980388877009,0.02853865366046247,0.4601595268697531,0.4232402272058367,0.40262244039957784,0.3839687987493528,0.36725374375145164
9.4035E-7,65.8144,21074.9396,0.87178,9.2493,0.382671372994866,65.8144,67.68156315757953,0.87178,7.574985365293358,5.145288404109533,3.317821885562765,2.0263381459034564,1.1782850981640505,0.7615885124830699,0.5728193802384846,0.48881747921734736,0.33531890300506345,0.2658222278139168,0.6325264351384133,0.5213885457014624,0.4180980556434187,0.32848243160216434,0.2588072898462731
7.3164E-7,11.7554,4490.02058,0.81489,8.7846,0.6262921324054763,11.7554,88.37327595651526,0.81489,8.558352448424142,8.259082227539428,7.982537034971991,7.70945128615813,7.438332235371295,0.07298602146936382,0.06744384156334657,0.06702199699203557,0.06636033326330892,0.06612051410589327,0.9594234496272984,0.954734536160048,0.9515602223045229,0.9482992667718716,0.9451287778432174
7.4516E-7,31.2895,4081.4111,0.50447,2.2635,0.6123530002950972,31.2895,75.07401339134333,0.50447,2.0595877816243164,1.8110855216757948,1.600112324618293,1.4100978718791164,1.2398513985308668,0.06172464800774678,0.05240292917312272,0.04979999285374882,0.04474200528055108,0.042286954026727226,0.36708786131007204,0.3363874435858169,0.3179152075334781,0.30054816375125987,0.28474617026611154
8.8875E-7,7.45542,5275.87849,0.8624,0.50941,0.4485621320016092,7.45542,33.527472727161225,0.8624,0.41862602198189686,0.2910209528092149,0.20036013367912758,0.13683505297128135,0.09293077210150387,0.03780300174240702,0.026858267667288372,0.02283878641349391,0.01591297418368551,0.013006643207671576,0.5660588556172287,0.5328258045375945,0.5085828259522241,0.49082262832686707,0.4796441624207555
1.0192E-6,31.2357,25201.9472,0.20347,0.48392,0.2748026826214535,31.2357,8.642103856437535,0.20347,0.1482024950167114,0.004621851624561414,1.335538175067058E-4,3.851623122324825E-6,1.1084965667085076E-7,0.048779130581759755,0.001524824374983386,7.844442669111199E-4,2.2667512138792595E-5,1.27086543873151E-6,0.14089946141762166,0.12835968753370297,0.1280154353599989,0.12800199372217383,0.12826931833679706
9.0368E-7,16.5915,6627.00743,0.42225,6.6435,0.4298794435890082,16.5915,35.53639049899752,0.42225,5.869333305688884,4.618062910654166,3.5416968458015625,2.6419104434348113,1.9151162064685239,0.3769160101949912,0.32423016182866704,0.2976349102627978,0.2449847320254134,0.21892980535389822,0.7671837848460139,0.6991595656581829,0.6274054137222456,0.5557351335904748,0.48831469874038136
8.7059E-7,7.32611,6683.08274,0.51711,5.3417,0.4708671706425129,7.32611,51.08201432993836,0.51711,5.08034407866432,4.658907799828864,4.25371637555065,3.8629952254741484,3.4885508670404555,0.12229940333045321,0.1175852006874567,0.11548558801791192,0.1110242400089817,0.10866250466959625,0.918892151783108,0.906154779272157,0.8914758322130475,0.8744417099338988,0.8559571438470286
5.8672E-7,14.5725,1880.11637,0.86757,2.7946,0.7596748931069873,14.5725,63.729089176280276,0.86757,2.6376289367737016,2.449789469349732,2.291190537623586,2.143388776235871,2.003474372373886,0.03673639077566382,0.03101772174078813,0.02996190244396075,0.028134804745883975,0.027363526344634577,0.667402808620014,0.6255948869724841,0.6040310782911039,0.5857759593571373,0.5695735002539879
7.4832E-7,28.2204,1117.4428,0.50982,2.8319,0.6090582397803739,28.2204,20.220727022488774,0.50982,2.238776640550737,1.4627028723683038,0.9334940399947775,0.5836374196575888,0.3595006772696995,0.19358384073542614,0.13200585114725238,0.10963704326208037,0.07158845219907174,0.0559086690212351,0.38816234916364756,0.3142418608780529,0.26125163378645005,0.22304004088890458,0.19708914671469008
7.4385E-7,20.9982,4213.20537,0.44326,3.1364,0.6137147781548816,20.9982,78.02100898213801,0.44326,2.933915071649363,2.677635758371201,2.451672977507832,2.2406840084199056,2.0440342882421505,0.06354445572732031,0.05602747151507236,0.054171093200211844,0.05053700650171285,0.04875929811807437,0.5093269902806637,0.48012022361202455,0.4607733138348933,0.4423249124358293,0.42475717480588066
8.8725E-7,26.5593,15724.155,0.51514,3.8118,0.45042195485253445,26.5593,101.5470615870037,0.51514,3.5005644542144028,3.0634556947370335,2.6728447887066658,2.319780117362223,2.002629521882652,0.12927491561543195,0.11552317545848124,0.10997102600430013,0.09910808258160102,0.09379728861308306,0.54861948101397,0.5138237693969093,0.48357771990280235,0.4545430113451074,0.42696588894280263
5.5717E-7,68.0068,1141.91422,0.11918,2.017,0.7832731056017014,68.0068,41.89050003355385,0.11918,1.8542511840866327,1.6619948070058692,1.5024607934450338,1.358237772955016,1.2257654799174444,0.03570649520602966,0.02962918877856355,0.028207384443685653,0.025694387973027824,0.024603195837247894,0.12516925056078276,0.11337611919699798,0.10788096339553939,0.1031002659447373,0.09885871641066123
8.3154E-7,48.9239,7329.76507,0.5282,1.8268,0.5172707117513816,48.9239,78.33131410668469,0.5282,1.5806227042571037,1.2742592470598453,1.0275361040617697,0.8243401677439288,0.65833193867701,0.0849178230659361,0.06838672077620661,0.06235428520239286,0.05116800528067384,0.046014160932768555,0.26992733675958147,0.24040497664929064,0.2202358706082418,0.20294351779333805,0.18836152111115473
6.426E-7,59.0521,586.718645,0.69038,7.6739,0.7117171536826968,59.0521,16.681702809199486,0.69038,6.056555139880495,4.03236667517583,2.629854602224761,1.6789813466987293,1.0553528855527146,0.4335811691397393,0.30041808602611886,0.2520475686798974,0.16862913385557615,0.13358121637747636,0.4385897087143709,0.3310730493110366,0.25446082161566874,0.19674557142627644,0.15602288989969093
9.5224E-7,57.3947,21190.7421,0.61191,0.43895,0.3669613885658301,57.3947,55.39271514342456,0.61191,0.3015881206330247,0.14787644739224617,0.07179425437774539,0.03459731854133246,0.016617740528690358,0.04879013457559964,0.02414950249204274,0.017978152942832344,0.008756880591270694,0.005706957788919438,0.17306871871419302,0.1547112598912813,0.1464790321612042,0.1424771998315995,0.14046954708836765
9.1892E-7,74.1054,611.72232,0.54015,7.4811,0.41048784145980927,74.1054,2.7021131053099663,0.54015,1.2850236318872166,5.702208785939644E-4,1.6083095738586315E-7,4.1983931820769486E-11,1.1796497426283394E-14,0.39343664281468116,1.746131929914016E-4,8.733122186294851E-5,2.463179542016333E-8,1.2856344863775513E-11,0.14562193267672532,0.07663121124415262,0.07670212695632037,0.07680125209188858,0.0765961389122087
